graph, size, connectivity, algorithm, repetition, failures, stretch, load, hops, success, cc_size,routing_time, precomputation_time
0, 27, 1, One Tree, 0, 10, 0, 1, 3, 0.800000, 24, 0.000430, 0.630869
0, 27, 1, One Tree Checkpoint, 0, 10, 0, 1, 3, 0.800000, 24, 0.000805, 2.234491
0, 27, 1, One Tree, 1, 10, 8, 2, 11, 1.000000, 24, 0.000419, 0.568335
0, 27, 1, One Tree Checkpoint, 1, 10, 2, 4, 5, 1.000000, 24, 0.000828, 2.128715
0, 27, 1, One Tree, 2, 10, 18, 4, 22, 0.400000, 24, 0.000498, 0.603358
0, 27, 1, One Tree Checkpoint, 2, 10, 3, 2, 7, 0.800000, 24, 0.000378, 1.589016
0, 27, 1, One Tree, 3, 10, 0, 1, 2, 0.800000, 24, 0.000177, 0.280623
0, 27, 1, One Tree Checkpoint, 3, 10, 3, 1, 6, 0.600000, 24, 0.000220, 1.080497
0, 27, 1, One Tree, 4, 10, inf, inf, inf, 0.000000, 24, 0.000184, 0.278073
0, 27, 1, One Tree Checkpoint, 4, 10, 1, 1, 5, 1.000000, 24, 0.000429, 1.070044
1, 24, 1, One Tree, 0, 10, 0, 0, 4, 1.000000, 20, 0.000140, 0.182833
1, 24, 1, One Tree Checkpoint, 0, 10, 0, 1, 3, 0.800000, 20, 0.000190, 0.732424
1, 24, 1, One Tree, 1, 10, 2, 1, 6, 1.000000, 20, 0.000141, 0.181787
1, 24, 1, One Tree Checkpoint, 1, 10, 1, 1, 5, 1.000000, 20, 0.000277, 0.736273
1, 24, 1, One Tree, 2, 10, 2, 1, 6, 1.000000, 20, 0.000144, 0.182740
1, 24, 1, One Tree Checkpoint, 2, 10, 2, 2, 5, 1.000000, 20, 0.000237, 0.728913
1, 24, 1, One Tree, 3, 10, 1, 1, 4, 1.000000, 20, 0.000152, 0.182407
1, 24, 1, One Tree Checkpoint, 3, 10, 0, 1, 2, 1.000000, 20, 0.000269, 0.724549
1, 24, 1, One Tree, 4, 10, 1, 1, 4, 1.000000, 20, 0.000146, 0.202132
1, 24, 1, One Tree Checkpoint, 4, 10, 0, 1, 2, 1.000000, 20, 0.000273, 0.702535
2, 33, 1, One Tree, 0, 10, 12, 1, 16, 0.600000, 30, 0.000203, 0.581874
2, 33, 1, One Tree Checkpoint, 0, 10, 0, 4, 4, 0.600000, 30, 0.000342, 2.187489
2, 33, 1, One Tree, 1, 10, 3, 1, 6, 0.600000, 30, 0.000196, 0.556243
2, 33, 1, One Tree Checkpoint, 1, 10, 3, 2, 8, 0.800000, 30, 0.000424, 2.182730
2, 33, 1, One Tree, 2, 10, 3, 1, 6, 0.600000, 30, 0.000198, 0.556030
2, 33, 1, One Tree Checkpoint, 2, 10, 3, 1, 6, 0.800000, 30, 0.000351, 2.155185
2, 33, 1, One Tree, 3, 10, 5, 1, 9, 0.600000, 30, 0.000199, 0.580646
2, 33, 1, One Tree Checkpoint, 3, 10, 0, 1, 4, 0.800000, 30, 0.000484, 2.120281
2, 33, 1, One Tree, 4, 10, 0, 1, 4, 0.600000, 30, 0.000181, 0.605489
2, 33, 1, One Tree Checkpoint, 4, 10, 0, 1, 4, 0.600000, 30, 0.000327, 2.116707
3, 59, 1, One Tree, 0, 10, 0, 0, 6, 1.000000, 53, 0.000296, 2.721228
3, 59, 1, One Tree Checkpoint, 0, 10, 15, 3, 18, 0.800000, 53, 0.001653, 8.055808
3, 59, 1, One Tree, 1, 10, 0, 0, 5, 0.800000, 53, 0.000296, 2.699681
3, 59, 1, One Tree Checkpoint, 1, 10, 18, 3, 22, 1.000000, 53, 0.002066, 8.140499
3, 59, 1, One Tree, 2, 10, 0, 0, 6, 1.000000, 53, 0.000293, 2.655969
3, 59, 1, One Tree Checkpoint, 2, 10, 15, 3, 18, 0.800000, 53, 0.001906, 8.051046
3, 59, 1, One Tree, 3, 10, inf, inf, inf, 0.000000, 1, 0.001589, 2.706592
3, 59, 1, One Tree Checkpoint, 3, 10, inf, inf, inf, 0.000000, 1, 0.000993, 8.106102
3, 59, 1, One Tree, 4, 10, 3, 1, 7, 1.000000, 53, 0.000283, 2.710662
3, 59, 1, One Tree Checkpoint, 4, 10, 0, 1, 3, 1.000000, 53, 0.001653, 8.071749
4, 70, 1, One Tree, 0, 10, 0, 0, 7, 1.000000, 65, 0.000288, 6.970277
4, 70, 1, One Tree Checkpoint, 0, 10, 0, 0, 7, 0.800000, 65, 0.000284, 21.294038
4, 70, 1, One Tree, 1, 10, 0, 0, 6, 1.000000, 65, 0.000282, 7.055273
4, 70, 1, One Tree Checkpoint, 1, 10, 0, 0, 6, 0.800000, 65, 0.000284, 21.568130
4, 70, 1, One Tree, 2, 10, 1, 0, 10, 1.000000, 65, 0.000300, 6.941163
4, 70, 1, One Tree Checkpoint, 2, 10, 1, 1, 10, 1.000000, 65, 0.001248, 21.304787
4, 70, 1, One Tree, 3, 10, 1, 0, 9, 1.000000, 65, 0.000285, 7.022085
4, 70, 1, One Tree Checkpoint, 3, 10, 1, 1, 9, 1.000000, 65, 0.001779, 22.157012
4, 70, 1, One Tree, 4, 10, 0, 0, 5, 1.000000, 65, 0.000292, 7.328917
4, 70, 1, One Tree Checkpoint, 4, 10, 0, 1, 5, 1.000000, 65, 0.001354, 23.129939
5, 30, 1, One Tree, 0, 10, 0, 1, 5, 0.600000, 25, 0.000179, 0.365655
5, 30, 1, One Tree Checkpoint, 0, 10, 0, 1, 6, 0.800000, 25, 0.000450, 1.219402
5, 30, 1, One Tree, 1, 10, 0, 1, 4, 0.600000, 25, 0.000195, 0.435563
5, 30, 1, One Tree Checkpoint, 1, 10, 0, 1, 4, 0.800000, 25, 0.000441, 1.342592
5, 30, 1, One Tree, 2, 10, 0, 0, 3, 0.600000, 25, 0.000171, 0.353469
5, 30, 1, One Tree Checkpoint, 2, 10, -1, 1, 2, 0.400000, 25, 0.000405, 1.353051
5, 30, 1, One Tree, 3, 10, 0, 1, 4, 0.600000, 25, 0.000184, 0.373831
5, 30, 1, One Tree Checkpoint, 3, 10, 0, 1, 5, 0.800000, 25, 0.000448, 1.335299
5, 30, 1, One Tree, 4, 10, inf, inf, inf, 0.000000, 1, 0.000510, 0.357410
5, 30, 1, One Tree Checkpoint, 4, 10, inf, inf, inf, 0.000000, 1, 0.000484, 1.351652
7, 35, 1, One Tree, 0, 10, inf, inf, inf, 0.000000, 35, 0.000485, 0.458324
7, 35, 1, One Tree Checkpoint, 0, 10, inf, inf, inf, 0.000000, 35, 0.000593, 1.411895
7, 35, 1, One Tree, 1, 10, inf, inf, inf, 0.000000, 35, 0.000422, 0.483418
7, 35, 1, One Tree Checkpoint, 1, 10, inf, inf, inf, 0.000000, 35, 0.000403, 1.462996
7, 35, 1, One Tree, 2, 10, inf, inf, inf, 0.000000, 35, 0.000442, 0.458334
7, 35, 1, One Tree Checkpoint, 2, 10, inf, inf, inf, 0.000000, 35, 0.000403, 1.449747
7, 35, 1, One Tree, 3, 10, inf, inf, inf, 0.000000, 35, 0.000429, 0.474940
7, 35, 1, One Tree Checkpoint, 3, 10, inf, inf, inf, 0.000000, 35, 0.000410, 1.447112
7, 35, 1, One Tree, 4, 10, inf, inf, inf, 0.000000, 35, 0.000408, 0.505473
7, 35, 1, One Tree Checkpoint, 4, 10, inf, inf, inf, 0.000000, 35, 0.000428, 1.480549
10, 38, 1, One Tree, 0, 10, 1, 1, 8, 0.800000, 31, 0.000183, 1.063890
